"genes","RA1","RA2","RA3","RA4","RA5","RA6","RA7","RA8","RA9","RA10","RA11","RA12","C1","C2","C3","C4","C5","C6","C7","C8","C9"
"g-1",6116.6,7710.9,6862.4,5485.1,5531.3,7971.4,5026.9,6767.6,7100.1,6606,6882.4,7383.4,12744.7,9653.2,3402.3,2589.3,1875.2,9318.8,5158.5,5200.2,6244.8
"g-2",1064.2,698.2,2050.1,1688.1,543.1,1789.9,1110.4,2744.9,2420.1,993.6,1831.1,2553.8,1364.4,1847.7,552.7,2355.8,2437.7,1030.1,1187,1174.9,1742.7
"g-3",968.9,1367.1,1155.6,887.7,2229.6,681,1040.5,795.7,674.1,537.7,390.4,493.1,1290.4,742.6,939.6,103.9,337.7,2400.1,823.4,649.6,524.9
"g-4",3487.6,2582.4,3861.1,3911.8,2652.7,4425.9,5921.9,7486.1,7496,4422.1,7649.3,8699.7,2857.2,5668.3,2067.9,4856.3,4613.9,5979.1,5315.3,4676.9,6869.6
"g-5",376.6,548.1,269.9,158.1,1378.4,207.2,138.9,144.6,190,226.2,213,152.5,241.7,247.2,404.7,205.7,271.8,693,257.5,142.2,130
"g-6",196.9,351.2,434.3,638.2,237.3,331.2,579.1,340.5,339.7,306.2,310.5,458.9,283.4,356.4,279.7,393.6,400.3,199,243.3,443.8,272
"g-7",13156.3,7320.8,8501.5,11850.2,6265.6,10021.3,10152.6,9664.1,6495.7,6182.9,8230.3,8535.7,6938.8,8288.1,5224.4,6511.1,9911.7,7649.7,8301.4,8205.8,4932.2
"g-8",648.4,457.6,354.8,425.2,288,408.9,436.9,539.1,367,344,610.3,441.6,206.3,333.8,197.1,699.5,334.2,286.4,344.8,298.1,322.7
"g-9",334.2,286.6,189.2,283.1,164.5,403.1,532.6,635.3,385.2,234.9,525.3,1105.3,112.1,416.5,99.8,235.9,210.5,508.3,411.4,428.8,432.2
"g-10",250.5,244.6,515.9,608.5,183.7,384,686.5,597.5,815.1,406.1,564.9,345.8,339.7,430.4,227,253.5,275.2,372.1,366.2,327.6,401.2
"g-11",1079,352.8,914.1,1364.8,561.6,789.3,1855.8,1215.6,798.5,600.6,821.9,1145.7,506.5,711.5,243.1,796.1,388.2,920.7,973.3,755.8,790.1
