
No   name      atomic_no  melting_point   VE   radii    EN     lattice_const_ang
1   AIN           10           498        4    1.135   -1.21       3.11
2   AIP           14           625        4    0.435   -0.68       5.47
3   AlAs          23          1011.5      4    0.260   -0.63       5.66
4   AlSb          32           918.5      4   -0.090   -0.50       6.14
5   GaN           19           182.5      4    1.155   -1.15       3.16
6   GaP           23           309.5      4    0.455   -0.62       5.45
7   GaAs          32           545       2.5   0.280   -0.57       5.65
8   GaSb          41           603        4   -0.070   -0.44       6.10
9   InN           28           246        4    1.510   -1.22       3.54
10  InP           32           373        4    0.810   -0.69       5.87
11  InAs          41           759.5      4    0.635   -0.64       6.06
12  InSb          50           666.5      4    0.285   -0.51       6.48
13  ZnS           23           540.0      9    0.780   -1.21       5.41
14  ZnSe          32           593        9    0.595   -1.10       5.67
15  ZnTe          41           707.0      9    0.210   -0.94       6.10
16  CdSe          41           544        9    0.930   -1.14       6.05
17  CdTe          50           658        9    0.545   -0.98       6.48
18  MgS           14           655        4    0.930   -1.34       5.70
19  MgSe          23           708        4    0.745   -1.23       5.90
20  (AlGa)_0.5N  14.5         340.25     4    1.135   -1.21       3.14
21  (Alln)_0.5N  19           372        4    1.135   -1.21       3.32
22  (Galn)_0.5N  23.5         214.25     4    1.155   -1.15       3.31
23  (ZnMg)_0.5S  18.5         597.5      6.5  0.780   -1.21       5.52
24  (SSe)_0.5Mg  18.5         681.5      4   -0.93     1.34       5.81
25  (SSe)_0.5Zn  27.5         566.5      9   -0.78     1.21       5.52
26  (ZnMg)_0.5Se 27.5         650.5      6.5  0.595   -1.10       5.78
27  (ZnCd)_0.5Se 36.5         568.5      9    0.595   -1.10       5.86
28  (SeTe)_0.5Zn 36.5         650        9   -0.595    1.1        5.90
29  (SeTe)_0.5Cd 45.5         601        9   -0.930    1.14       6.28
30  (ZnCd)_0.5Te 45.5         682.5      9    0.210   -0.94       6.27
31  (AlGa)_0.5P  18.5         567.25     4    0.435   -0.68       5.46
32  (PAs)_0.5Ga  27.5         502.75     4   -0.455    0.62       5.61
33  (AlGa)_0.5As 27.5         853.75     4    0.260   -0.63       5.65
34  (GaIn)_0.5P  27.5         431.25     4    0.455   -0.62       5.68
35  (AlIn)_0.5P  23           499        4    0.435   -0.68       5.69
36  (AlSb)_0.5Al 27.5         965        4   -0.260    0.63       5.88
37  (AlZn)_0.5As 27.25        951.25     6.25 0.26    -0.63       5.87
38  (AsSb)_0.5Ga 36.5         649.5      4   -0.28     0.57       5.85
39  (AlGa)_0.5Sb 36.5         760.75     4   -0.09    -0.5        6.11
40  (GaIn)_0.5As 36.5         727.75     4    0.28    -0.57       5.82
41  (PAs)_0.5In  36.5         566.25     4   -0.81     0.69       5.94
42  (AlIn)_0.5   41           792.5      4   -0.09    -0.5        6.27
43  (GaIn)_0.5Sb 45.5         634.75     4   -0.07    -0.44       6.26
44  (AsSb)_0.5In 45.5         713        4   -0.635    0.64       6.24 
